iter	RMSE
0	18.97569223
1	18.82338833
2	18.67246728
3	18.52331069
4	18.37584394
5	18.22982486
6	18.08484265
7	17.9425795
8	17.80122425
9	17.66221344
10	17.52456192
11	17.38790827
12	17.25342747
13	17.12021433
14	16.98889359
15	16.85892614
16	16.72948197
17	16.60158406
18	16.47579991
19	16.35122173
20	16.22772489
21	16.10683289
22	15.98665674
23	15.86796816
24	15.7497325
25	15.6328694
26	15.51677414
27	15.40225718
28	15.28972969
29	15.17844916
30	15.06787703
31	14.95914323
32	14.85088624
33	14.74506549
34	14.63924092
35	14.53469752
36	14.43112711
37	14.32999833
38	14.22856646
39	14.1298336
40	14.03138368
41	13.93519237
42	13.83964091
43	13.74508282
44	13.65096919
45	13.55807219
46	13.46691964
47	13.37636345
48	13.28665346
49	13.19786
50	13.11086934
51	13.02488167
52	12.93991275
53	12.85577355
54	12.77222371
55	12.68978745
56	12.60830991
57	12.52907596
58	12.44965259
59	12.37151131
60	12.29434042
61	12.21737662
62	12.14160749
63	12.06691431
64	11.9939627
65	11.92251874
66	11.85166533
67	11.78080715
68	11.71031479
69	11.64175963
70	11.57335919
71	11.50552094
72	11.43928998
73	11.37380331
74	11.30910939
75	11.24480657
76	11.18284362
77	11.12037631
78	11.06011551
79	10.99895555
80	10.93975577
81	10.88030437
82	10.82167337
83	10.76384867
84	10.70678958
85	10.65083051
86	10.59558989
87	10.54078327
88	10.4869286
89	10.43379868
90	10.38156671
91	10.32957128
92	10.27860955
93	10.22890792
94	10.17908523
95	10.13008886
96	10.08164449
97	10.03458535
98	9.987813519
99	9.941839242
100	9.895840088
101	9.851296504
102	9.806220553
103	9.762250914
104	9.719388859
105	9.676368636
106	9.633991562
107	9.59218392
108	9.55193632
109	9.511581437
110	9.471848744
111	9.433299747
112	9.394367293
113	9.356309482
114	9.318352268
115	9.281459906
116	9.244535295
117	9.20851865
118	9.172627033
119	9.137496681
120	9.102844106
121	9.06852524
122	9.035510899
123	9.00218504
124	8.970226655
125	8.937999757
126	8.906821442
127	8.875447169
128	8.845225454
129	8.815160277
130	8.785228833
131	8.755951096
132	8.726978236
133	8.698080332
134	8.66966658
135	8.641785613
136	8.615106749
137	8.587943671
138	8.561061372
139	8.535119079
140	8.509420848
141	8.484137022
142	8.458993188
143	8.434811255
144	8.410993945
145	8.387002244
146	8.363514226
147	8.340139061
148	8.317402334
149	8.295113292
150	8.273071428
151	8.251477727
152	8.230263803
153	8.209019892
154	8.188024192
155	8.167710901
156	8.147911436
157	8.127854476
158	8.108129984
159	8.088628247
160	8.069294137
161	8.050507214
162	8.032013958
163	8.013771874
164	7.995909501
165	7.978544831
166	7.961564308
167	7.94428664
168	7.927523145
169	7.911046985
170	7.894788012
171	7.87860588
172	7.862795504
173	7.847329966
174	7.832383579
175	7.817231929
176	7.802498079
177	7.788119876
178	7.773746944
179	7.759477126
180	7.745672361
181	7.732205145
182	7.718778645
183	7.705516211
184	7.69234532
185	7.679561078
186	7.666862067
187	7.65460685
188	7.642284098
189	7.630457511
190	7.618560387
191	7.606904742
192	7.595481702
193	7.584409375
194	7.573377549
195	7.562437063
196	7.551628146
197	7.541187154
198	7.53091294
199	7.520649592
200	7.510579917
201	7.50066885
202	7.490935922
203	7.481315756
204	7.471876797
205	7.462480148
206	7.45348027
207	7.444472501
208	7.435563217
209	7.426875705
210	7.418373202
211	7.410142796
212	7.401842221
213	7.393710559
214	7.385818518
215	7.377948296
216	7.370081995
217	7.362547494
218	7.355020455
219	7.347535238
220	7.340416825
221	7.333231963
222	7.326184255
223	7.319218515
224	7.312368613
225	7.305794305
226	7.299087615
227	7.29254084
228	7.286265682
229	7.279958516
230	7.27380228
231	7.267668748
232	7.261836152
233	7.256020434
234	7.250177158
235	7.244458371
236	7.238818354
237	7.233237897
238	7.227822802
239	7.222564927
240	7.217385918
241	7.212279169
242	7.207251206
243	7.202400665
244	7.197580127
245	7.192776063
246	7.188049324
247	7.183323017
248	7.178712073
249	7.174256716
250	7.169760524
251	7.165530507
252	7.161207692
253	7.156982074
254	7.152926383
255	7.148879383
256	7.144788502
257	7.140931441
258	7.137065652
259	7.133225237
260	7.129508726
261	7.125753089
262	7.122182756
263	7.118570063
264	7.115034011
265	7.111531811
266	7.10811277
267	7.104704503
268	7.101458176
269	7.09813399
270	7.094969991
271	7.091785735
272	7.088733243
273	7.085666626
274	7.08266077
275	7.079738207
276	7.076855518
277	7.073961533
278	7.071172456
279	7.068349051
280	7.065621265
281	7.062956958
282	7.060287726
283	7.057708086
284	7.055147664
285	7.052591873
286	7.050099169
287	7.047679045
288	7.045276693
289	7.042895562
290	7.040599859
291	7.038322647
292	7.036078114
293	7.033817969
294	7.03160172
295	7.029432505
296	7.027314559
297	7.025167866
298	7.023100337
299	7.021032316
300	7.01905327
301	7.017072176
302	7.015143085
303	7.013201507
304	7.011305441
305	7.009398831
306	7.007548814
307	7.005739461
308	7.003995576
309	7.00221884
310	7.000476656
311	6.998744623
312	6.997053354
313	6.995405922
314	6.993797442
315	6.992177657
316	6.990580079
317	6.989040284
318	6.987492454
319	6.985999391
320	6.984530432
321	6.9830484
322	6.981605131
323	6.980173468
324	6.978769777
325	6.977399024
326	6.976020072
327	6.9746955
328	6.973348992
329	6.972036727
330	6.970740166
331	6.969482491
332	6.968211103
333	6.966985372
334	6.965777558
335	6.96457745
336	6.963381698
337	6.962203143
338	6.961054156
339	6.959933848
340	6.958829089
341	6.95772902
342	6.956632774
343	6.955576057
344	6.954507246
345	6.953471229
346	6.952452384
347	6.951448004
348	6.950491826
349	6.949530721
350	6.94855886
351	6.947596707
352	6.946661055
353	6.945746518
354	6.944819442
355	6.943931711
356	6.943059579
357	6.942197965
358	6.941325202
359	6.940479596
360	6.939638102
361	6.938796239
362	6.937994093
363	6.93719433
364	6.936422598
365	6.935630733
366	6.934866479
367	6.934090575
368	6.933331159
369	6.932603622
370	6.931876679
371	6.931157337
372	6.930461501
373	6.929775612
374	6.929079183
375	6.928412439
376	6.927737899
377	6.927061059
378	6.926413053
379	6.925781205
380	6.925142236
381	6.924517429
382	6.923914701
383	6.923309059
384	6.922718679
385	6.92213093
386	6.921533002
387	6.920944155
388	6.920387794
389	6.919816276
390	6.91926938
391	6.91871579
392	6.918178095
393	6.917653241
394	6.91711319
395	6.916608667
396	6.916084453
397	6.915594205
398	6.915093804
399	6.914624208
400	6.914132978
401	6.913644057
402	6.913183978
403	6.912729345
404	6.912260099
405	6.911797105
406	6.911330224
407	6.910887512
408	6.910475995
409	6.910052091
410	6.909627819
411	6.909200709
412	6.908783105
413	6.908377439
414	6.907968679
415	6.907585172
416	6.907176984
417	6.906787369
418	6.906412438
419	6.906028031
420	6.905640973
421	6.905255738
422	6.90489025
423	6.904534387
424	6.904174807
425	6.903824209
426	6.903475958
427	6.903126909
428	6.902770274
429	6.902434871
430	6.90208788
431	6.901761266
432	6.901448025
433	6.90112107
434	6.900802153
435	6.900491491
436	6.900126171
437	6.89976595
438	6.899457799
439	6.899111832
440	6.89881169
441	6.898511936
442	6.898228773
443	6.897950683
444	6.897670197
445	6.897374209
446	6.897094591
447	6.896808846
448	6.896550581
449	6.896289458
450	6.896017117
451	6.895738751
452	6.895475035
453	6.895221953
454	6.894965957
455	6.89473168
456	6.894484302
457	6.894227501
458	6.893968328
459	6.893739324
460	6.893503946
461	6.893265762
462	6.893037448
463	6.892805027
464	6.892524436
465	6.892307521
466	6.892087224
467	6.891869989
468	6.891648052
469	6.891425719
470	6.89122348
471	6.891005266
472	6.890796651
473	6.890601223
474	6.890340267
475	6.89013884
476	6.88988644
477	6.889699265
478	6.889471681
479	6.889297099
480	6.889111258
481	6.888763879
482	6.888552402
483	6.888370228
484	6.88819717
485	6.887966209
486	6.887740722
487	6.887566262
488	6.88740274
489	6.887207951
490	6.887032851
491	6.886871314
492	6.886681053
493	6.883957151
494	6.883783918
495	6.883598676
496	6.883389389
497	6.883247272
498	6.883088748
499	6.882906227
500	6.882744142
501	6.882594094
502	6.882268351
503	6.882113076
504	6.881964532
505	6.881763729
506	6.881622224
507	6.881482971
508	6.881313538
509	6.881172348
510	6.880966416
511	6.880771886
512	6.880636424
513	6.880493033
514	6.880362641
515	6.880223284
516	6.877753586
517	6.877569005
518	6.874910221
519	6.874757863
520	6.874627458
521	6.874458567
522	6.874314496
523	6.874197964
524	6.874058336
525	6.873882041
526	6.87359728
527	6.873447119
528	6.8733263
529	6.873164141
530	6.873035106
531	6.872867207
532	6.872578194
533	6.872297276
534	6.869668266
535	6.869497738
536	6.869362919
537	6.869203382
538	6.866670977
539	6.866537304
540	6.86640112
541	6.866246092
542	6.863787639
543	6.863646103
544	6.863494135
545	6.863387969
546	6.860998434
547	6.860892035
548	6.860727751
549	6.860608049
550	6.86044847
551	6.860349654
552	6.860191361
553	6.857776228
554	6.857634172
555	6.857482324
556	6.857379678
557	6.857222188
558	6.857114962
559	6.857017158
560	6.856888376
561	6.856748657
562	6.856650808
563	6.856512715
564	6.856389308
565	6.856251739
566	6.856112207
567	6.856020178
568	6.855880793
569	6.855761615
570	6.855647532
571	6.855530742
572	6.855425994
573	6.855309643
574	6.855217425
575	6.855123521
576	6.852726343
577	6.852601637
578	6.852490682
579	6.850074536
580	6.849991862
581	6.849760389
582	6.849670574
583	6.849590567
584	6.849505435
585	6.849405113
586	6.849277442
587	6.847252936
588	6.847025333
589	6.846885927
590	6.846808959
591	6.846692861
592	6.846557959
