iter	Passed	Remaining
0	789	1577384
1	1587	1585880
2	2441	1625364
3	3149	1571680
4	3877	1547230
5	4547	1511186
6	5271	1500733
7	5924	1475266
8	6597	1459605
9	7207	1434234
10	7762	1403535
11	8412	1393720
12	8982	1373008
13	9645	1368255
14	10299	1363014
15	10930	1355359
16	11523	1344214
17	12213	1344881
18	12925	1347702
19	13595	1345974
20	14254	1343282
21	14892	1338966
22	15505	1332772
23	16105	1326032
24	16834	1329917
25	17488	1327790
26	18135	1325218
27	18791	1323443
28	19456	1322347
29	20101	1319998
30	20746	1317755
31	21385	1315230
32	22026	1312892
33	22729	1314317
34	23360	1311527
35	23997	1309176
36	24622	1306330
37	25310	1306823
38	25926	1303618
39	26525	1299765
40	27172	1298296
41	27773	1294776
42	28408	1292931
43	29051	1291459
44	29664	1288763
45	30299	1287059
46	30951	1286120
47	31579	1284236
48	32216	1282759
49	32856	1281415
50	33554	1282290
51	34216	1281795
52	34816	1279002
53	35369	1274618
54	35980	1272414
55	36613	1270997
56	37256	1269997
57	37871	1268052
58	38527	1267485
59	39108	1264521
60	39836	1266265
61	40638	1270288
62	41319	1270418
63	42007	1270718
64	42659	1269954
65	43303	1268929
66	43919	1267115
67	44638	1268267
68	45311	1268052
69	45990	1268028
70	46634	1267018
71	47276	1265970
72	47933	1265311
73	48498	1262283
74	49113	1260574
75	49779	1260203
76	50429	1259437
77	51045	1257812
78	51677	1256603
79	52335	1256062
80	52992	1255467
81	53755	1257362
82	54435	1257260
83	55109	1257024
84	55779	1256672
85	56421	1255706
86	57107	1255711
87	57751	1254772
88	58389	1253739
89	59025	1252643
90	59680	1251970
91	60230	1249131
92	60845	1247663
93	61487	1246752
94	62125	1245781
95	62777	1245087
96	63422	1244260
97	64089	1243863
98	64700	1242383
99	65402	1242645
100	66016	1241234
101	66838	1243716
102	67507	1243316
103	68236	1244003
104	68981	1244958
105	69697	1245350
106	70360	1244781
107	70905	1242159
108	71629	1242675
109	72283	1241954
110	72933	1241177
111	73585	1240445
112	74271	1240274
113	74916	1239402
114	75548	1238333
115	76188	1237404
